    yield year tillage summerCrop manure N  MTD  MTJ  MTF  MTM  MTA  mTD  mTJ  mTF  mTM  mTA mTUD mTUJ mTUF mTUM mTUA  PRD   PRJ  PRF  PRM SHD SHJ SHF  EVD   EVJ   EVF   EVM   EVA
1    8132 1988       T          S      M 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
2    6691 1988       t          S      M 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
3    7163 1988       T          s      M 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
4    5632 1988       t          s      M 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
5    5942 1988       T          S      m 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
6    5164 1988       t          S      m 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
7    4537 1988       T          s      m 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
8    4085 1988       t          s      m 0 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
9    9521 1988       T          S      M n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
10   8189 1988       t          S      M n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
11   8785 1988       T          s      M n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
12   8353 1988       t          s      M n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
13   7982 1988       T          S      m n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
14   7211 1988       t          S      m n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
15   8132 1988       T          s      m n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
16   6150 1988       t          s      m n 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
17   9852 1988       T          S      M N 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
18   8639 1988       t          S      M N 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
19   9597 1988       T          s      M N 24.6 25.2 27.0 28.5 31.1  8.3  7.5  9.8  8.9 13.2  4.5  3.8  6.9  5.8  9.9  1.9   2.4  0.2  0.2 8.1 9.2 7.2 97.7 104.5 107.6 172.7 209.4
